FundingOrgName,Department,Title,StartDate,EndDate,Status,GTRProjectUrl,FundingAmount
AHRC,School of Design,Crafting Technology for Textiles,01/05/2020,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/V003933/1,36212.0
MRC,"Metabolism, Digestion and Reproduction",Investigating how the novel hormone kisspeptin modulates sexual and emotional brain processing in response to odour cues.,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/R000484/1,255811.0
NERC,School of Earth and Environment,"The Changing Arctic Ocean Seafloor (ChAOS) - how changing sea ice conditions impact biological communities, biogeochemical processes and ecosystems",01/02/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/P006493/1,508106.0
EPSRC,Chemistry,Smartwound-plasma,01/12/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R003556/1,280433.0
MRC,Clinical Neuroscience,Investigating neuronal network activity during cortical rewiring.,26/09/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1847459,0.0
EPSRC,Landscape Architecture,"Newton Fund: Adaptive Urban Transformation (AUT) - Territorial governance, spatial strategy and urban landscape dynamics in the Pearl River Delta",01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R024979/1,291089.0
BBSRC,Sch of Molecular & Cellular Biology,Exploiting the power of heterologous expression in plants to discover new virus structure.,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=BB/R00160X/1,494318.0
ESRC,School of Medicine,Framing the trajectories of decision-making in the context of predictive and prenatal genetic and genomic tests.,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=ES/R003092/1,797944.0
MRC,International Public Health,Kenya Quality Model for Community Health: a unique model for quality improvement in Antenatal Care,01/08/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/T003324/1,151617.0
NERC,School of Geography,FLOODMAL,01/10/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/P013481/2,148929.0
AHRC,School of Humanities,"Music, Home and Heritage: Sounding the Domestic in Georgian Britain",01/09/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/P009972/1,664928.0
EPSRC,Chemistry,Multi-Domain Self-Assembled Gels: From Multi-Component Materials to Spatial and Temporal Control of Multi-Component Biology,01/12/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/P03361X/1,359780.0
EPSRC,Physics and Astronomy,Redrawing the boundaries: new approaches to many-body open quantum systems,01/02/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/N008154/1,866379.0
NC3Rs,"Sch of Energy, Geosci, Infrast & Society",Developing Alternative Models to Evaluate the Impact of Nanomaterials on Neutrophils during the Stimulation and Resolution of Inflammation,01/11/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NC/P001149/1,344250.0
BBSRC,Astbury Centre,Understanding and Controlling Protein Aggregation and Disease: Molecular Mechanisms in vitro and in vivo,01/10/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1774723,0.0
AHRC,Politics Philosophy Lang & Comms Studies,"Political Ideology, Rhetoric and Aesthetics in the Twenty-First Century: The Case of the 'Alt-Right'",01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/R001197/1,397430.0
NC3Rs,Biomedical Science,A highly sensitive replacement assay for botulinum neurotoxin type B,01/08/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NC/S000925/1,306073.0
AHRC,School of Media,"Creative and Industry Approaches to Mobility in the Age of the Internet of Things, Blockchain and Data (CIAM)",01/02/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/S004475/1,185809.0
NERC,School of Ocean and Earth Science,Physical and biological dynamic coastal processes and their role in coastal recovery (BLUE-coast),01/05/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/N015703/1,301667.0
NERC,Sch of Geosciences,Reducing Snow-Climate Uncertainty in Earth System modelling (ReSCUES),01/05/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/P011926/1,361991.0
NERC,Plant Sciences,Hotspots of intraspecific diversity: how are morphologically distinct populations generated and maintained within a species?,25/09/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/P011764/1,406036.0
